"BarcodeID","TripID","Region","Reach","Date","SampleNumber","RiverMile","DepthTotal","DepthSample","DepthIntegrated","GearID","TimeDay","TimeBegin","TimeElapsed","SuspendedLoad","Collector","FmUse","FiltrationEfficiency","Distance","Velocity","Volume","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes.x","SpeciesID","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","CExtra","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","FExtra","CountC","CountF","CountTotal","Notes.y","Concentration"
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","OCHR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0382995021064726
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","RHYL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0382995021064726
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","BAET",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0382995021064726
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","ACLA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0382995021064726
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","LETR",0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,"",0.497893527384144
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","BAEL",0,3,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,"",2.10647261585599
"D03208","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:07:00",5,"","","Net",1.93,237.37,47.47,26.11,1,0,"","FordM","",0.63,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","HYDE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0382995021064726
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","ACLA",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"",0.136425648021828
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","CERP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0682128240109141
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","DIPT",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"Originally ID'd as Phoridae, Muscomorpha.",0.136425648021828
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","MCYL",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0682128240109141
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","OCHR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0682128240109141
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","BAEL",0,11,17,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,"",3.4106412005457
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","LETR",0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,"",0.750341064120055
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","MCYA",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,"",0.409276944065484
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","ELOA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0682128240109141
"D03209","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:22:25",5,"","","Net",0.53,133.29,26.66,14.66,1,0,"","FordM","",0.42,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","PETL",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0682128240109141
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","CULP",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0492610837438424
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","HYDE",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"",0.0985221674876847
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","BAEL",0,15,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,"",1.97044334975369
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","LETR",0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,"",0.295566502463054
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","MCYA",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,"",0.246305418719212
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","ACLA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"",0.0985221674876847
"D03210","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Day","14:35:15",5.03,"","","Net",3.04,184.59,36.7,20.3,1,0,"","DaubertM","",0,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. Net flowmeter distance greater than bomb flowmeter distance verified (2017-06-27 JDM). ","WIEL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0492610837438424
"D03211","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Crepuscular","19:47:50",5,"","","Net",0.96,196.32,39.26,21.6,0,0,"","FordM","",0.7,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","WIEA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"",0.0462962962962963
"D03211","BA20160608","GrandCanyon","BrightAngel",2016-06-08,"",1000,2,1.5,0,26,"Crepuscular","19:47:50",5,"","","Net",0.96,196.32,39.26,21.6,0,0,"","FordM","",0.7,0,"","","River Mile is actually meters up Bright Angel Creek from confluence. ","OCHR",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,"",0.185185185185185
